listingId,url,title,date,datetime,price,location,propertyType,rooms,superficy,description
1169278920,https://www.leboncoin.fr/ventes_immobilieres/1169278920.htm?ca=12_s,Charmante maison de bourg en résidence secondaire,2017-07-31,Mise en ligne le 31 juillet à 14:44,142 000 €,Paris 75015,Maison,5,130 m,"Libre. De particulier à particulier.,Proche de Paris.,Belle vue dégagée,5 pièces 3 chambres et 1 dressing,Belle salle-salon avec cheminée,Cuisine aménagée,Chauffage électrique.,2 salles d’eau et 2 WC,Surface habitable de 130m2,Terrain de 547 m2 dont colline jardin,1 deuxième maison studio et 1 grand garage avec rangement et grand grenier.,1 préau et 1 cave,Habitable sans travaux. Bon état intérieur,Commerces accessibles à pieds.,Résidence principale ou secondaire."
1161446987,https://www.leboncoin.fr/ventes_immobilieres/1161446987.htm?ca=12_s,APPARTEMENT AVENUE RAPP 7ème,2017-07-31,Mise en ligne le 31 juillet à 12:07,1 854 000 €,Paris 75007,Appartement,4,115 m,"En plein 7ème arrondissement, avenue RAPP, dans un immeuble de standing avec gardien 24H/24H, desservi par 2 ascenseurs, au 4ème étage avec vue Tour Eiffel, APPARTEMENT de 115 m2 au sol comprenant grand séjour et cuisine séparée le tout donnant sur balcon, 2 chambres avec balcon, grande salle de bains, buanderie, wc indépendant, salle d’eau. Nombreux placards. Alarme et climatisation. Parking et cave accessible directement par les ascenseurs. Prix de vente 1.854.000 € (prix incluant honoraires de négociation de 3%TTC charge acquéreur) OFFICE NOTARIAL 06.32.34.58.35"
1145846746,https://www.leboncoin.fr/ventes_immobilieres/1145846746.htm?ca=12_s,Appartement 2 pièces 34m² + cave,2017-07-31,Mise en ligne le 31 juillet à 12:24,247 000 €,Paris 75015,Appartement,2,34 m,"Dans un immeuble ancien, à proximité immédiate de la rue Lecourbe (rue Jean Maridor), nous vous proposons un appartement 2 pièces, en RDC sur une cour très calme. ,Prestations : ,- 2 pièces efficace ,- chauffage électrique individuel,- Parquet au sol ,- Double vitrage,- Cuisine indépendante,Une cave est incluse dans le prix.,Prix de vente honoraires inclus : 247 000 €"
1169244926,https://www.leboncoin.fr/ventes_immobilieres/1169244926.htm?ca=12_s,Studio 1 pièce 17 m²,2017-07-31,Mise en ligne le 31 juillet à 11:14,185 000 €,Paris 75009,Appartement,1,17 m,"Studio - 17m ²,Métro Blanche,Dans un bel immeuble Pierre de Taille au rez-de-chaussée sur cour, studio de 17m² composé d'une entrée, une pièce à vivre avec cuisine ouverte, une salle d'eau avec WC.,Clair et calme, parfait état.,Appartement bénéficiant d'une situation géographique privilégiée à proximité des commerces et transports.,Contact : 06 48 78 02 78,Référence annonce : 672,Prix hors honoraires : 175 750 €"
1138043970,https://www.leboncoin.fr/ventes_immobilieres/1138043970.htm?ca=12_s,Loft 5 pièces 103 m²,2017-07-31,Mise en ligne le 31 juillet à 12:27,950 000 €,Paris 75019,Appartement,5,103 m,"Dpt Paris (75), à vendre PARIS 19EME ARRONDISSEMENT T5 de 103m2, Loft comme une maison,PARIS 19EME ARRONDISSEMENT, T5, rue Pradier, à 2 pas des Buttes Chaumont dans quartier tendance, comme une maison de ville avec son entrée indépendante, magnifique duplex de 103 m2. ,Vous serez séduit par la distribution design en 2 plateaux,  pensés et refaits à neuf par des architectes.,Dans un esprit loft, le rez-de-chaussée offre 55m2 en open-space de pièce à vivre,  avec 3,80m2 de hauteur sous plafond,  un espace cuisine équipée, de nombreux rangements, une salle de douche avec WC et coin buanderie. ,A l'étage, l'espace nuit prend son sens à travers, ses rangements, ses 3 chambres et sa salle de bains et WC.,Une atmosphère contemporaine et chaleureuse se dégage du lieu, par le mixte des matériaux de qualité, l'ensemble des volumes relevé de blanc, et la lumière traversante N Ouest / S Est.,Désireux d'obtenir de plus amples renseignements ou tout simplement impatient d'organiser une visite, contactez moi., Nombre de lots de la copropriété : 70, Montant moyen annuel de la quote-part de charge (budget prévisionnel) : 3600€ soit 300€ par mois. Les honoraires d'agence sont à la charge de l'acquéreur, soit 2,15% TTC du prix du bien. Réseau Immobilier CAPIFRANCE - Votre agent commercial Christèle CHARRIER 06 18 03 12 07 - Voir photos (réf.497780) sur ***,Référence annonce : 340933089166,Prix hors honoraires : 930 000 €,A propos de la copropriété :,Nombre de lots : 70,Charges prévisionnelles annuelles : 3600 €"
1169244750,https://www.leboncoin.fr/ventes_immobilieres/1169244750.htm?ca=12_s,Appartement 4 pièces 97 m²,2017-07-31,Mise en ligne le 31 juillet à 11:08,1 028 000 €,Paris 75011,Appartement,4,97 m,"VENTE de PRESTIGE - Appartement PARIS 11ème (75011),PARIS 11ème APPARTEMENT de 96m², situé dans  un immeuble de standing entre Chemin Vert et Saint Ambroise.  ,Comprenant,  un double séjour (47m²) donnant sur une  terrasse de 18m² exposée Sud-Ouest, une cuisine équipée semi-ouverte,,2 grandes chambres avec balcons, 2 wc, salle de bain, et nombreux rangements. ,1 cave complète ce bien - Possibilité de parking,A voir rapidement  ,Contact : Micheline Lestringuez : 06 19 63 51 82 ou Viviane Lumbroso / 06 03 48 91 83, , ,Charges annuelles : 4200 euros ,Agent commercial immobilier.,Référence annonce : BGIM1099I,Le prix indiqué comprend les honoraires à la charge de l'acheteur : 2,80% TTC du prix du bien hors honoraires,Prix hors honoraires : 1 000 000 €"
1169157454,https://www.leboncoin.fr/ventes_immobilieres/1169157454.htm?ca=12_s,Appartement 75012,2017-07-31,Mise en ligne le 31 juillet à 10:29,119 000 €,Paris 75012,Appartement,2,22 m,"Appartement de 2 pièces, 22 m² environ au 1er étage sur cour+ cave.,Situé rue du Sergent Bauchat 75012.,A rénover entièrement (électricité, plomberie, sol, murs...),Taxe foncière : 450€,Charges mensuelles: 78€,Prix de vente : 115 000€,Contacter François au 06 63 18 60 81,Agence s'abstenir"
1169244836,https://www.leboncoin.fr/ventes_immobilieres/1169244836.htm?ca=12_s,Studio 1 pièce 38 m²,2017-07-31,Mise en ligne le 31 juillet à 11:35,520 000 €,Paris 75007,Appartement,1,38 m,"Studio - 38m ²,Avenue de Saxe/ Rue du Général Bertrand,Dans une résidence de standing au quatrième étage avec ascenseur, studio de 38m² composé d'une entrée, une pièce à vivre avec cuisine ouverte équipée, une salle de bain, WC séparé, dressing, cave.,Clair et ensoleillé, calme, rangements, pas de vis à vis, bon état général.,Appartement bénéficiant d'une situation géographique privilégiée à proximité des commerces et transports.,Référence annonce : 678,Prix hors honoraires : 494 000 €"
1169244901,https://www.leboncoin.fr/ventes_immobilieres/1169244901.htm?ca=12_s,Studio 1 pièce 34 m²,2017-07-31,Mise en ligne le 31 juillet à 11:12,345 000 €,Paris 75015,Appartement,1,34 m,"Studio - 34m ²,Métro La motte Piquet Grenelle,Dans une résidence de standing au troisième étage avec ascenseur, studio de 34m² composé d'une entrée, une pièce à vivre de 23m², une cuisine équipée, une salle de bain, WC séparé, cave.,Clair et ensoleillé, calme, rangements, bon état général.,Appartement bénéficiant d'une situation géographique privilégiée à proximité des commerces et transports.,Référence annonce : 673,Prix hors honoraires : 327 750 €"
1155711149,https://www.leboncoin.fr/ventes_immobilieres/1155711149.htm?ca=12_s,Appartement 4 pièces 93 m²,2017-07-31,Mise en ligne le 31 juillet à 11:57,808 000 €,Paris 75014,Appartement,4,93 m,"PORTE DE CHATILLON,4 pièces,Au 4EME ETAGE d'un immeuble de standing du bd Brune, un APPARTEMENT 4 PIECES comprenant une entrée, un lumineux double séjour de 30 m2, une cuisine indépendante aménagée et équipée, deux belles chambres dont l'une en arrondie, une salle de bain et un wc indépendant, un espace dressing et un cabinet de toilette. Tout le charme de l'ancien, parquet, 2,90m de hauteur sous plafond, moulures et cheminée.Clair, traversant et en bon état. Une CHAMBRE DE SERVICE, une cave et un cabonon de cour complètent ce bien, 808 000 Euros *,*Dont Honoraires 4.94 % TTC à la charge de l'acquéreur calculés sur la base du prix net vendeur ,Prix hors honoraires :  770 000 Euros,Référence annonce : 6296"
